from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
U336Z2P,U336Z2P,1,,209_536_181209,226_102_190330
U336Z2P,U336Z2P,1,,209_530_181209,226_104_190330
U107Z1P,U107Z1P,1,,228_240_181209,240_1157_190303
U107Z1P,U107Z1P,1,,228_198_181209,240_61_190303
U107Z1P,U107Z1P,1,,228_200_181209,240_63_190303
U107Z1P,U107Z1P,1,,228_241_181209,240_1158_190303
U107Z1P,U107Z1P,1,,228_243_181209,240_1159_190303
U107Z1P,U107Z1P,1,,228_245_181209,240_1160_190303
U107Z1P,U107Z1P,1,,228_208_181209,240_1161_190303
U107Z1P,U107Z1P,1,,228_210_181209,240_1141_190303
U107Z1P,U107Z1P,1,,228_231_181209,240_1162_190303
U107Z1P,U107Z1P,1,,228_178_181209,240_1163_190303
U107Z1P,U107Z1P,1,,228_180_181209,240_81_190303
U107Z1P,U107Z1P,1,,228_232_181209,240_1164_190303
U107Z1P,U107Z1P,1,,228_234_181209,240_1165_190303
U107Z1P,U107Z1P,1,,228_236_181209,240_1166_190303
U107Z1P,U107Z1P,1,,228_238_181209,240_1167_190303
U107Z1P,U107Z1P,1,,228_191_181209,240_1127_190303
U1500Z2,U1500Z1,1,,303_99_181209,344_346_190303
U1500Z2,U1500Z1,1,,303_70_181209,344_469_190316
U1500Z2,U1500Z1,1,,303_72_181209,344_350_190303
U1500Z2,U1500Z1,1,,303_85_181209,344_471_190316
U1500Z2,U1500Z1,1,,303_89_181209,344_473_190316
U1500Z2,U1500Z1,1,,344_345_190303,303_382_181209
U1500Z2,U1500Z1,1,,344_470_190316,303_179_181209
U1500Z2,U1500Z1,1,,344_349_190406,303_179_181209
U1500Z2,U1500Z1,1,,303_87_181209,344_361_190303
U454Z301,U454Z73,1,,1301_251_181218,303_384_181209
U1500Z2,U1500Z1,1,,344_472_190316,303_188_181209
U1500Z2,U1500Z1,1,,344_353_190406,303_188_181209
U1500Z2,U1500Z1,1,,344_474_190316,303_190_181209
U1500Z2,U1500Z1,1,,344_355_190406,303_190_181209
U454Z301,U454Z73,1,,1301_245_181209,303_385_181209
U454Z301,U454Z72,1,,1301_28_180430,303_386_181209
U454Z301,U454Z73,1,,1301_100_181209,303_387_181209
U454Z301,U454Z73,1,,1301_249_181215,303_387_181209
U454Z301,U454Z72,1,,1301_15_180430,303_199_181209
U454Z301,U454Z2P,1,,1301_16_181123,211_105_180501
U454Z301,U454Z2P,1,,1301_3_181209,211_127_180901
U1500Z2,U1500Z1,1,,344_476_190316,303_381_181209
U1500Z2,U1500Z1,1,,344_364_190406,303_381_181209
U1500Z2,U1500Z1,1,,303_68_181209,344_365_190303
U454Z301,U454Z2P,1,,1301_245_181209,211_104_180501
U454Z301,U454Z2P,1,,1301_236_181209,211_21_180430
U454Z301,U454Z2P,1,,1301_251_181218,211_59_180901
U454Z301,U454Z2P,1,,1301_28_180430,211_23_180430
U454Z301,U454Z2,1,,1301_100_181209,391_48_180901
